case_id,point,clause,article,type,Note
1,i,1,51,hình sự,
1,s,1,51,hình sự,
1,,2,51,hình sự,
1,g,1,52,hình sự,
1,,,35,hình sự,
1,a,1,47,hình sự,
1,b,1,47,hình sự,
1,a,2,106,tố tụng hình sự,
1,b,2,106,tố tụng hình sự,
1,c,2,106,tố tụng hình sự,
1,,2,201,hình sự,
1,,3,201,hình sự,
1,,1,468,,dân sự
1,,,123,,dân sự
1,,2,131,,dân sự
1,,,357,,dân sự
1,,,468,,dân sự
1,,,2,,thi hành án dân sự
1,,,6,,thi hành án dân sự
1,,,7,,thi hành án dân sự
1,,,9,,thi hành án dân sự
1,,,30,,thi hành án dân sự
2,a,1,244,hình sự,
2,s,1,51,hình sự,
2,,2,51,hình sự,
2,d,3,106,tố tụng hình sự,
2,,1,69,thi hành án hình sự,
2,,,65,hình sự,
2,,,47,hình sự,
2,,,106,tố tụng hình sự,
2,,,136,tố tụng hình sự,
2,,,331,tố tụng hình sự,
2,,,333,tố tụng hình sự,
3,c,1,244,hình sự,
3,s,1,51,hình sự,
3,,,65,hình sự,
3,,2,51,hình sự,
3,,,47,hình sự,
3,,,106,tố tụng hình sự,
3,,1,69,thi hành án hình sự,
3,,,136,tố tụng hình sự,
3,,,331,tố tụng hình sự,
3,,,333,tố tụng hình sự,
4,a,1,244,hình sự,86/2018/HSST
4,h,1,51,hình sự,86/2018/HSST
4,i,1,51,hình sự,86/2018/HSST
4,n,1,51,hình sự,86/2018/HSST
4,s,1,51,hình sự,86/2018/HSST
4,,2,51,hình sự,86/2018/HSST
4,,,38,hình sự,86/2018/HSST
4,b,1,355,tố tụng hình sự,86/2018/HSST
4,e,1,357,tố tụng hình sự,86/2018/HSST
4,,,65,hình sự,86/2018/HSST
4,,,69,thi hành án hình sự,86/2018/HSST
5,b,1,244,hình sự,
5,,4,244,hình sự,
5,s,1,51,hình sự,
5,,2,51,hình sự,
5,,1,65,hình sự,
5,m,1,51,hình sự,
5,,2,35,hình sự,
5,,,65,hình sự,
5,,1,244,hình sự,
5,,2,136,tố tụng hình sự,
5,,,331,tố tụng hình sự,
5,,,333,tố tụng hình sự,
5,,1,69,thi hành án hình sự,
5,,,2,,thi hành án dân sự
5,,,6,,thi hành án dân sự
5,,,7,,thi hành án dân sự
5,,,7a,,thi hành án dân sự
5,,,7b,,thi hành án dân sự
5,,,9,,thi hành án dân sự
5,,,30,,thi hành án dân sự
6,a,1,244,hình sự,
6,h,1,51,hình sự,
6,s,1,51,hình sự,
6,,2,51,hình sự,
6,,1,65,hình sự,
6,b,3,106,tố tụng hình sự,
6,,,65,hình sự,
6,,1,244,hình sự,
6,,1,69,thi hành án hình sự,
6,,5,65,hình sự,
6,,4,328,tố tụng hình sự,
6,,2,136,tố tụng hình sự,
6,,,331,tố tụng hình sự,
6,,,333,tố tụng hình sự,
7,a,1,244,hình sự,
7,s,1,51,hình sự,
7,,2,51,hình sự,
7,,,65,hình sự,
7,a,2,106,tố tụng hình sự,
7,c,2,106,tố tụng hình sự,
7,,2,190,hình sự,
7,,1,244,hình sự,
7,,1,51,hình sự,
7,,3,106,tố tụng hình sự,
7,,1,69,thi hành án hình sự,
7,,,136,tố tụng hình sự,
8,b,1,244,hình sự,
8,s,1,51,hình sự,
8,,2,51,hình sự,
8,,,58,hình sự,
8,,,65,hình sự,
8,,,47,hình sự,
8,,,106,tố tụng hình sự,
8,,,136,tố tụng hình sự,
8,,,331,tố tụng hình sự,
8,,,333,tố tụng hình sự,
8,,4,244,hình sự,
8,,,35,hình sự,
8,,1,69,thi hành án hình sự,
8,,,52,hình sự,
8,,,2,,thi hành án dân sự
8,,,6,,thi hành án dân sự
8,,,7,,thi hành án dân sự
8,,,9,,thi hành án dân sự
8,,,30,,thi hành án dân sự
9,a,1,244,hình sự,
9,n,1,51,hình sự,
9,s,1,51,hình sự,
9,,2,51,hình sự,
9,,,65,hình sự,
9,đ,2,190,hình sự,
9,,2,136,tố tụng hình sự,
9,,1,69,thi hành án hình sự,
9,,,234,hình sự,
10,a,1,244,hình sự,
10,,4,244,hình sự,
10,s,1,51,hình sự,
10,,,65,hình sự,
10,,1,244,hình sự,
10,a,2,106,tố tụng hình sự,
10,d,3,106,tố tụng hình sự,
10,,1,69,thi hành án hình sự,
11,a,3,244,hình sự,
11,s,1,51,hình sự,
11,t,1,51,hình sự,
11,,2,51,hình sự,
11,,,54,hình sự,
11,,4,244,hình sự,
12,a,1,244,hình sự,
12,s,1,51,hình sự,
12,,2,51,hình sự,
12,,1,47,hình sự,
12,,2,106,tố tụng hình sự,
