Recall
topk,score
5,0.05653523056289695
10,0.08040418438373531
15,0.10014454827004947
20,0.11509542649278012
25,0.12989562562537701
30,0.14363024260778873
35,0.1605370037607407
40,0.17405141859833118
45,0.1861611724282133
50,0.19839558552469538
55,0.21139911166976122
60,0.22288775556618373
65,0.23586269384184383
70,0.24797503352034225
75,0.2601556667514967
80,0.2747451092078197
85,0.28702208977870564
90,0.300357931963786
95,0.3117590731464027
100,0.3217771602895901
105,0.3333678784460661
110,0.34518522442540084
115,0.35537280037079555
120,0.3667298385923085
125,0.37608403580737176
130,0.3859717779324836
135,0.39772630136503434
140,0.40720937264642154
145,0.41758353470462534
150,0.4262914155255775
155,0.4344120628102184
160,0.4439390111803904
165,0.4519661818178257
170,0.45815422548582124
175,0.4655995401284094
180,0.47122273276042315
185,0.4766656803946298
190,0.4818400613909836
195,0.48729302751957115
200,0.4927207148638584
